Simple site,Unnamed: 0,Flood Freq (Floods/yr)
CRMS0684,6.0,217.6074297188528
CRMS0685,7.0,204.92597466689065
CRMS0687,8.0,232.29680696659744
CRMS0691,9.0,23.0
CRMS0693,10.0,3.063392857142861
CRMS0694,11.0,25.34037162162153
CRMS0697,12.0,119.56049240238978
CRMS0978,13.0,200.79254079251223
CRMS1024,14.0,283.1436339771396
CRMS1069,15.0,258.3445884284999
CRMS1100,16.0,14.39627906976753
CRMS1130,17.0,32.82053688755458
CRMS1205,18.0,30.86200585651606
CRMS1277,19.0,2.5120907738095237
CRMS1409,20.0,10.725436179981624
CRMS1413,21.0,83.0
CRMS1446,22.0,105.26492287056334
CRMS1650,23.0,255.4112641815602
CRMS1738,24.0,34.50616148611324
CRMS1743,25.0,78.9572538860079
CRMS1838,26.0,33.0
CRMS1858,27.0,102.0
CRMS1965,28.0,63.73916907353832
CRMS2041,29.0,231.1107921928932
CRMS2154,30.0,35.758398712533214
CRMS2156,31.0,36.42814960629874
CRMS2166,32.0,761.0
CRMS2189,33.0,126.54450724124976
CRMS2219,34.0,12.032145782145845
CRMS2334,35.0,36.0193365560929
CRMS2418,36.0,26.244469026548344
CRMS2493,37.0,35.141760189013645
CRMS2568,38.0,269.51750488716493
CRMS2608,39.0,159.40632703368826
CRMS2614,40.0,217.12720470339715
CRMS2627,41.0,76.98528041736078
CRMS2634,21.0,130.1995070715564
CRMS2785,1.0,196.53846153846277
CRMS2825,2.0,56.709617180204766
CRMS2830,3.0,61.78788997600405
CRMS2854,4.0,63.12726613488012
CRMS2862,5.0,10.356595092024538
CRMS2881,6.0,82.23006734737766
CRMS2887,7.0,48.40182141270415
CRMS2939,8.0,709.8241206030265
CRMS2991,9.0,7.350890782339253
CRMS3054,10.0,110.23400365631456
CRMS3136,11.0,59.848456325300006
CRMS3166,12.0,35.99792369582138
CRMS3169,13.0,429.0
CRMS3296,14.0,3658.0
CRMS3565,15.0,2026.345108695721
CRMS3590,16.0,222.64777574650296
CRMS3601,17.0,154.0926347760023
CRMS3617,18.0,160.21495664740675
CRMS3626,19.0,142.51813565470326
CRMS3639,20.0,115.8109335270704
CRMS3641,21.0,167.1867054122965
CRMS3650,22.0,199.6445411679489
CRMS3664,23.0,162.08227388305468
CRMS3667,24.0,26.513157894736946
CRMS3680,25.0,202.5161290322669
CRMS3784,26.0,222.88440366970767
CRMS3800,27.0,45.77557755775648
CRMS3913,28.0,96.51280633867523
CRMS3985,29.0,100.32722513088464
CRMS4014,30.0,231.13404825734688
CRMS4016,31.0,245.07329281368408
CRMS4045,32.0,118.48493462194033
CRMS4094,33.0,176.27036462375696
CRMS4103,34.0,90.19881085098774
CRMS4107,35.0,16.15868099836043
CRMS4110,36.0,103.34861544104346
CRMS4218,37.0,143.3400809716695
CRMS4245,38.0,67.98647242455696
